mị;hổ báo cáo chồn
anonymous;10d wed201c kkkk
mochi;mochi mochi mochimochi mochi mochimochi mochi mochimochi mochi mochi
Tào tháo;uốn được gia nhập mu
Ai Đó;Đợi cậu Vũ bao mì cay
minh duy;10đ  WED201c

anonymous;đừng tăng học phí nữa, xây trường rộng hơn đi với lại ra đề có tâm tí đừng để k17 như con chuột thí nghiệm
Trai f;ny t bỏ t mà đi
ẩn sĩ;cầu mong đừng đổi source, trúng src pls pleszzzzzzz
trai f;cầu mong thi chỉ được 10đ là vui r :))
Jdjsjs;Xjjssj
anonymous;CẦU ĐỦ ĐIỂM PASS ENW492c , HOM301c
Phan Thanh Khải;8đ môn WED201c
Mai Văn Quốc Tịnh;Môn WED201c được 7 điểm trở lên
Cường;Passed
trâm;passed csd201
NhatNguyen;pass trs6 pleaseeee :')
LNL;Giàu
Tes7t;Test
1;1
